[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(486,479)(486,479)
[17:54:14][info](cam_alg.c:489)====>lane 0 , count: 5 ---->(92,479)(293,7)
[17:54:14][info](cam_alg.c:489)====>lane 1 , count: 9 ---->(285,479)(352,7)
[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(489,479)(489,479)
[17:54:14][info](cam_alg.c:489)====>lane 0 , count: 5 ---->(92,479)(293,7)
[17:54:14][info](cam_alg.c:489)====>lane 1 , count: 9 ---->(285,479)(352,7)
[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(489,479)(489,479)
[17:54:14][info](cam_alg.c:489)====>lane 0 , count: 5 ---->(97,479)(298,7)
[17:54:14][info](cam_alg.c:489)====>lane 1 , count: 9 ---->(280,479)(361,7)
[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(486,479)(486,479)
[17:54:14][info](cam_alg.c:489)====>lane 0 , count: 5 ---->(97,479)(298,7)
[17:54:14][info](cam_alg.c:489)====>lane 1 , count: 9 ---->(280,479)(361,7)
[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(486,479)(486,479)
[17:54:14][info](cam_alg.c:489)====>lane 0 , count: 5 ---->(92,479)(293,7)
[17:54:14][info](cam_alg.c:489)====>lane 1 , count: 9 ---->(285,479)(352,7)
[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(489,479)(489,479)
[17:54:14][info](cam_alg.c:489)====>lane 0 , count: 5 ---->(92,479)(293,7)
[17:54:14][info](cam_alg.c:489)====>lane 1 , count: 9 ---->(285,479)(352,7)
[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(489,479)(489,479)
[17:54:14][info](cam_alg.c:489)====>lane 0 , count: 5 ---->(97,479)(298,7)
[17:54:14][info](cam_alg.c:489)====>lane 1 , count: 9 ---->(280,479)(361,7)
[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(486,479)(486,479)
[17:54:14][info](cam_alg.c:489)====>lane 0 , count: 5 ---->(97,479)(298,7)
[17:54:14][info](cam_alg.c:489)====>lane 1 , count: 9 ---->(280,479)(361,7)
[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(486,479)(486,479)
[17:54:14][info](cam_alg.c:489)====>lane 0 , count: 5 ---->(92,479)(293,7)
[17:54:14][info](cam_alg.c:489)====>lane 1 , count: 9 ---->(285,479)(352,7)
[17:54:14][info](cam_alg.c:489)====>lane 2 , count: 1 ---->(489,479)(489,479)

